source_workbook,source_sheet,source_row,batch,basket,category,semester,course_code_raw,course_code,course_code_status,course_title_raw,course_title,prerequisite_raw,prerequisite,prerequisite_status,lecture_hours,tutorial_hours,practical_hours,credits
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,8,2023,B2,Foundation,S2,MTSC211,MTSC211,recorded,Sustainable Smart Materials,Sustainable Smart Materials,MTSC111,MTSC111,recorded,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,8,2023,B2,Foundation,S3,MATH204,MATH204,recorded,Linear Algebra,Linear Algebra,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,9,2023,B2,Foundation,S1,MTSC111,MTSC111,recorded,Materials for Smart Devices,Materials for Smart Devices,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,9,2023,B2,Foundation,S2,ENGL201,ENGL201,recorded,Academic Writing,Academic Writing,UCOR102,UCOR102,recorded,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,10,2023,B2,Foundation,S1,PSYC101/ECON101,PSYC101/ECON101,recorded,Introduction to Psychology/Introduction to Economics,Introduction to Psychology/Introduction to Economics,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,11,2023,B2,Foundation,S1,DATA131,DATA131,recorded,Visualizing Data for Story Telling,Visualizing Data for Story Telling,NIL,Nil,explicit_none,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,12,2023,B3,Program CORE,S2,COMP201,COMP201,recorded,Data Structures,Data Structures,NIL,Nil,explicit_none,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,12,2023,B3,Program CORE,S3,COMP203,COMP203,recorded,Analysis of Algorithms,Analysis of Algorithms,COMP201,COMP201,recorded,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,13,2023,B3,Program CORE,S2,MATH205,MATH205,recorded,Statistics with R,Statistics with R,MATH202,MATH202,recorded,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,13,2023,B3,Program CORE,S3,COMP202,COMP202,recorded,Theoretical Computer Science,Theoretical Computer Science,NIL,Nil,explicit_none,3.0,1.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,14,2023,B3,Program CORE,S3,MATH207,MATH207,recorded,Research Methodology,Research Methodology,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,16,2023,B4,Program HONORS,S2,DATA201,DATA201,recorded,Foundations to Data Science,Foundations to Data Science,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,16,2023,B4,Program HONORS,S3,DATA202,DATA202,recorded,Exploratory Data Analysis,Exploratory Data Analysis,"DATA201, MATH203","DATA201, MATH203",recorded,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,18,2023,B5,Specialization Tracks,S7,DATA403,DATA403,recorded,SPT-Course #3 (Natural Language Processing / Natural Language Processing),SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA302,DATA302,recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem_Spread_2023,19,2023,B5,Specialization Tracks,S7,DATA404/ COMP402,DATA404/COMP402,recorded,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),"DATA302/ COMP205, COMP401","DATA302/COMP205, COMP401",recorded,2.0,0.0,4.0,4.0
