course_code,course_title,credits,prerequisite,prerequisite_status,batch,source_type,source_sheet,source_row
MATH301,Optimization Techniques for Data Science,4.0,MATH201,recorded,2025,semester_excel,Sem_Spread_2025,16
DATA301,Machine Learning,4.0,"DATA206, MATH301",recorded,2025,semester_excel,Sem_Spread_2025,16
DATA302,Deep Learning,4.0,DATA301,recorded,2025,semester_excel,Sem_Spread_2025,16
DATA403,Natural Language Processing,4.0,DATA302,recorded,2025,semester_excel,Sem_Spread_2025,16
MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2/Web Framework LTP: 2-0-4,4.0,NIL/NIL,recorded,2025,semester_excel,Sem_Spread_2025,18
DATA404/DATA406,SPT-Course #2-Multi Modal Learning/Big Data Framework,4.0,DATA302/NIL,recorded,2025,semester_excel,Sem_Spread_2025,18
TBA/COMP405,SPT-Course #3 (Image Processing and Computer Vision/Cloud & Cognitive Computing),4.0,TBA/NIL,recorded,2025,semester_excel,Sem_Spread_2025,18
DATA408/COMP402,SPT-Course #4 (Advanced Topics in Deep Learning LTP: 3-0-2/ Software Architecture and Deployments LTP: 2-0-4),4.0,"DATA302/COMP205, COMP401",recorded,2025,semester_excel,Sem_Spread_2025,19
DATA405,SPT-Course #5 Reinforcement Learning/Reinforcement Learning,4.0,"MATH202, MATH204",recorded,2025,semester_excel,Sem_Spread_2025,20
MGMT101,Essentials of Business Management,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,21
DATA802,Inter-Desciplinary Project,4.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,21
PSCY102/ECON105,Introduction to Psychology/Principles of Economics,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,22
DATA801,Summer Training/Internship,2.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,23
DATA803,Capstone Project/ Industrial Internship,12.0,Nil,explicit_none,2025,semester_excel,Sem_Spread_2025,23
UCOR107,Communication Skills,3.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,3
UCOR111,Environmental Studies and Sustainability,2.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,3
